,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,marck,model
0,3,gas,std,two,convertible,rwd,front,2.2504399999999998,4.28752,1.62814,1.23952,1155.75,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0,alfa-romero,giulia
1,3,gas,std,two,convertible,rwd,front,2.2504399999999998,4.28752,1.62814,1.23952,1155.75,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,alfa-romero,stelvio
2,1,gas,std,two,hatchback,rwd,front,2.4003,4.3484799999999995,1.6637,1.3309600000000001,1280.49,ohcv,6,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0,alfa-romero,Quadrifoglio
3,2,gas,std,four,sedan,fwd,front,2.53492,4.48564,1.6814799999999999,1.37922,1060.05,ohc,4,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,audi,100 ls
4,2,gas,std,four,sedan,4wd,front,2.52476,4.48564,1.68656,1.37922,1280.94,ohc,5,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,audi,100ls
5,2,gas,std,two,sedan,fwd,front,2.53492,4.50342,1.6840199999999999,1.34874,1137.16,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,audi,fox
6,1,gas,std,four,sedan,fwd,front,2.6873199999999997,4.8945799999999995,1.8135600000000003,1.4147800000000001,1290.02,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,audi,100ls
7,1,gas,std,four,wagon,fwd,front,2.6873199999999997,4.8945799999999995,1.8135600000000003,1.4147800000000001,1339.91,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,audi,5000
8,1,gas,turbo,four,sedan,fwd,front,2.6873199999999997,4.8945799999999995,1.8135600000000003,1.41986,1399.79,ohc,5,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,audi,4000
9,0,gas,turbo,two,hatchback,4wd,front,2.5273,4.52628,1.72466,1.3208000000000002,1384.82,ohc,5,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,audi,5000s (diesel)
10,2,gas,std,two,sedan,rwd,front,2.57048,4.4907200000000005,1.6459199999999998,1.37922,1086.35,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430.0,bmw,320i
11,0,gas,std,four,sedan,rwd,front,2.57048,4.4907200000000005,1.6459199999999998,1.37922,1086.35,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,bmw,320i
12,0,gas,std,two,sedan,rwd,front,2.57048,4.4907200000000005,1.6459199999999998,1.37922,1229.24,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,x1
13,0,gas,std,four,sedan,rwd,front,2.57048,4.4907200000000005,1.6459199999999998,1.37922,1254.18,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,x3
14,1,gas,std,four,sedan,rwd,front,2.6289,4.8006,1.6992600000000002,1.4147800000000001,1385.72,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,z4
15,0,gas,std,four,sedan,rwd,front,2.6289,4.8006,1.6992600000000002,1.4147800000000001,1465.1,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,x4
